Time [s],Value,Parity Error,Framing Error
5.204012000000000,\x18,,
5.205056000000000,\x01,,
5.206098000000000,C,,
5.207135000000000,3,,
5.208181000000000,\x01,,
5.209218000000000,H,,
5.210262000000000,\x01,,
5.211303000000000,E,,
5.212345000000000,5,,
6.513447000000000,\x01,,
6.514485000000000,D,,
6.515526000000000,1,,
6.516574000000000,@,,
6.517611000000000,8,,
6.518656000000000,S,,
6.519694000000000,\x01,,
6.520734000000000,D,,
6.521781000000000,1,,
6.522818000000000,H,,
6.523864000000000,8,,
6.524901000000000,T,,
6.525947000000000,\x01,,
6.526984000000000,D,,
6.528032000000000,1,,
6.529068000000000,P,,
6.530110000000000,8,,
6.531153000000000,A,,
6.532192000000000,\x01,,
6.533236000000000,D,,
6.534281000000000,1,,
6.535320000000000,X,,
6.536363000000000,8,,
6.537400000000000,R,,
6.538447000000000,\x01,,
6.539490000000000,D,,
6.540527000000000,1,,
6.541572000000000,`,,
6.542612000000000,8,,
6.543650000000000,T,,
12.743743000000000,\x1B,,
12.744788000000000,\x01,,
12.745827000000000,C,,
12.746871000000001,3,,
12.747907000000000,\x01,,
12.748950000000001,H,,
12.749991000000000,\x01,,
12.751032000000000,E,,
12.752076000000001,5,,
12.753118000000001,F,,
12.754165000000000,O,,
12.755202000000001,0,,
12.756240999999999,\x01,,
12.757282000000000,B,,
12.758324000000000,0,,
12.759369000000000,5,,
12.760408999999999,T,,
12.761450999999999,0,,
12.793328000000001,F,,
12.794366000000000,I,,
12.795406000000000,7,,
14.417327999999999,F,,
14.418369000000000,O,,
14.419416000000000,9,,
15.267405000000000,\x01,,
15.268447000000000,C,,
15.269491000000000,3,,
15.270526000000000,F,,
15.271572000000001,I,,
15.272615999999999,0,,
15.317296000000001,\x01,,
15.318341999999999,B,,
15.319383999999999,0,,
15.320423000000000,6,,
15.321463000000000,5,,
15.322505000000000,0,,
15.567290000000000,\x01,,
15.568327999999999,B,,
15.569375000000001,0,,
15.570411000000000,6,,
15.571457000000001,6,,
15.572498000000000,0,,
15.817174000000000,\x01,,
15.818215000000000,B,,
15.819259000000001,0,,
15.820297999999999,6,,
15.821348000000000,7,,
15.822381000000000,0,,
16.067267999999999,\x01,,
16.068314000000001,B,,
16.069354000000001,0,,
16.070392999999999,6,,
16.071435000000001,8,,
16.072476999999999,0,,
16.317374999999998,\x01,,
16.318408000000002,B,,
16.319448999999999,0,,
16.320489999999999,6,,
16.321529999999999,5,,
16.322573999999999,0,,
16.567250999999999,\x01,,
16.568297000000001,B,,
16.569334000000001,0,,
16.570381000000001,6,,
16.571417000000000,6,,
16.572461000000001,0,,
16.817242000000000,\x01,,
16.818283000000001,B,,
16.819324999999999,0,,
16.820367000000001,6,,
16.821414000000001,7,,
16.822450000000000,0,,
17.067342000000000,\x01,,
17.068397999999998,B,,
17.069421999999999,0,,
17.070471999999999,6,,
17.071504999999998,8,,
17.072547000000000,0,,
17.317332000000000,\x01,,
17.318386000000000,B,,
17.319410999999999,0,,
17.320454999999999,6,,
17.321494999999999,5,,
17.322535999999999,0,,
17.567216999999999,\x01,,
17.568256999999999,B,,
17.569299000000001,0,,
17.570340000000002,6,,
17.571382000000000,6,,
17.572434999999999,0,,
17.817205999999999,\x01,,
17.818248000000001,B,,
17.819289000000001,0,,
17.820330999999999,6,,
17.821373000000001,7,,
17.822414999999999,0,,
18.067098999999999,\x01,,
18.068140000000000,B,,
18.069175999999999,0,,
18.070222000000001,6,,
18.071259999999999,8,,
18.072303999999999,0,,
18.317188000000002,\x01,,
18.318230000000000,B,,
18.319272000000002,0,,
18.320312999999999,6,,
18.321355000000001,5,,
18.322396000000001,0,,
18.567076000000000,\x01,,
18.568117000000001,B,,
18.569158000000002,0,,
18.570201000000001,6,,
18.571242000000002,6,,
18.572289000000001,0,,
18.817171999999999,\x01,,
18.818211999999999,B,,
18.819255999999999,0,,
18.820295000000002,6,,
18.821338999999998,7,,
18.822379000000002,0,,
19.067270000000001,\x01,,
19.068307000000001,B,,
19.069348999999999,0,,
19.070391000000001,6,,
19.071435000000001,8,,
19.072483999999999,0,,
19.317153000000001,\x01,,
19.318193999999998,B,,
19.319240000000001,0,,
19.320281000000001,6,,
19.321318999999999,9,,
19.322361000000001,0,,
19.567159000000000,\x01,,
19.568187999999999,B,,
19.569227000000001,0,,
19.570271000000002,6,,
19.571310000000000,:,,
19.572353000000000,0,,
19.817135000000000,\x01,,
19.818176000000001,B,,
19.819217999999999,0,,
19.820260000000001,6,,
19.821300999999998,;,,
19.822343000000000,0,,
20.067022000000001,\x01,,
20.068062999999999,B,,
20.069110999999999,0,,
20.070146999999999,6,,
20.071187999999999,<,,
20.072230000000001,0,,
20.317119000000002,\x01,,
20.318159000000001,B,,
20.319206000000001,0,,
20.320246000000001,6,,
20.321287999999999,=,,
20.322324999999999,0,,
20.567218000000000,\x01,,
20.568254000000000,B,,
20.569303999999999,0,,
20.570340999999999,6,,
20.571379000000000,>,,
20.572420000000001,0,,
20.817215000000001,\x01,,
20.818245999999998,B,,
20.819289000000001,0,,
20.820328000000000,6,,
20.821370000000002,?,,
20.822412000000000,0,,
21.066987999999998,\x01,,
21.068028000000002,B,,
21.069068999999999,0,,
21.070111000000001,6,,
21.071158000000000,@,,
21.072203999999999,0,,
21.317186000000000,\x01,,
21.318227000000000,B,,
21.319268999999998,0,,
21.320309999999999,6,,
21.321359000000001,A,,
21.322393999999999,0,,
21.567084999999999,\x01,,
21.568117000000001,B,,
21.569156000000000,0,,
21.570197000000000,6,,
21.571238999999998,B,,
21.572281000000000,0,,
21.817063000000001,\x01,,
21.818104999999999,B,,
21.819147000000001,0,,
21.820188000000002,6,,
21.821232999999999,C,,
21.822272000000002,0,,
22.067057999999999,\x01,,
22.068096000000001,B,,
22.069139000000000,0,,
22.070184999999999,6,,
22.071221000000001,D,,
22.072263000000000,0,,
22.316942999999998,\x01,,
22.317983000000002,B,,
22.319025000000000,0,,
22.320069000000000,6,,
22.321114000000001,E,,
22.322164999999998,0,,
22.567043999999999,\x01,,
22.568078000000000,B,,
22.569130999999999,0,,
22.570162000000000,6,,
22.571209000000000,F,,
22.572244999999999,0,,
22.817138000000000,\x01,,
22.818176999999999,B,,
22.819215000000000,0,,
22.820259000000000,6,,
22.821304000000001,E,,
22.822340000000001,0,,
23.066918000000001,\x01,,
23.067958000000001,B,,
23.068999000000002,0,,
23.070039999999999,6,,
23.071081000000000,F,,
23.072130000000001,0,,
23.317115000000001,\x01,,
23.318159999999999,B,,
23.319196999999999,0,,
23.320243000000001,6,,
23.321283000000001,E,,
23.322333000000000,0,,
23.567001999999999,\x01,,
23.568042999999999,B,,
23.569084000000000,0,,
23.570125999999998,6,,
23.571169999999999,F,,
23.572213000000001,0,,
23.816998000000002,\x01,,
23.818035999999999,B,,
23.819075000000002,0,,
23.820117000000000,6,,
23.821158000000000,E,,
23.822199999999999,0,,
24.066987000000001,\x01,,
24.068030000000000,B,,
24.069068999999999,0,,
24.070108000000001,6,,
24.071152000000001,F,,
24.072191000000000,0,,
24.316987000000001,\x01,,
24.318016000000000,B,,
24.319061000000001,0,,
24.320100000000000,6,,
24.321141000000001,G,,
24.322182999999999,0,,
24.816852000000001,\x01,,
24.817899000000001,B,,
24.818935000000000,0,,
24.819977000000002,6,,
24.821019000000000,H,,
24.822060000000000,0,,
25.316942000000001,\x01,,
25.317979999999999,B,,
25.319023000000001,0,,
25.320063000000001,6,,
25.321104999999999,I,,
25.322146000000000,0,,
25.567035000000001,\x01,,
25.568076000000001,B,,
25.569120000000002,0,,
25.570160999999999,7,,
25.571200999999999,P,,
25.572241999999999,0,,
25.816920000000000,\x01,,
25.817962999999999,B,,
25.819018000000000,0,,
25.820046999999999,7,,
25.821086999999999,O,,
25.822129000000000,0,,
26.066911000000001,\x01,,
26.067952999999999,B,,
26.068998000000001,0,,
26.070036000000002,7,,
26.071078000000000,P,,
26.072120000000002,0,,
26.316905999999999,\x01,,
26.317945000000002,B,,
26.318985999999999,0,,
26.320029000000002,7,,
26.321069000000001,O,,
26.322113000000002,0,,
26.566894000000001,\x01,,
26.567934999999999,B,,
26.568977000000000,0,,
26.570018999999998,7,,
26.571059999999999,P,,
26.572113000000002,0,,
26.816989000000000,\x01,,
26.818030000000000,U,,
26.819071999999998,1,,
26.820114000000000,0,,
26.821159999999999,1,,
26.822196999999999,1,,
26.823239000000001,2,,
26.824280000000002,X,,
26.825326000000000,L,,
26.826363000000001,0,,
26.827408999999999,\x01,,
26.828447000000001,U,,
26.829488999999999,1,,
26.830532999999999,0,,
26.831582999999998,0,,
26.832619999999999,1,,
26.833655000000000,2,,
26.834696000000001,`,,
26.835737999999999,L,,
26.836784000000002,0,,
26.837821000000002,\x01,,
26.838864000000001,U,,
26.839905000000002,1,,
26.840951000000000,0,,
26.841992000000001,0,,
26.843032999999998,1,,
26.844071000000000,2,,
26.845116999999998,h,,
26.846153999999999,L,,
26.847200000000001,0,,
26.848237999999998,\x01,,
26.849291000000001,U,,
26.850321000000001,1,,
26.851365000000001,1,,
26.852618000000000,2,,
26.853653999999999,3,,
26.854697000000002,2,,
26.855737000000001,0,,
26.856780000000001,K,,
26.857821000000001,0,,
26.858867000000000,\x01,,
26.859904000000000,U,,
26.860951000000000,1,,
26.861989999999999,1,,
26.863033999999999,5,,
26.864070000000002,1,,
26.865116000000000,2,,
26.866154000000002,P,,
26.867197999999998,K,,
26.868237000000001,0,,
26.869278999999999,\x01,,
26.870320000000000,U,,
26.871362000000001,1,,
26.872613000000001,1,,
26.873653000000001,6,,
26.874699000000000,1,,
26.875737000000001,2,,
26.876778000000002,p,,
26.877820000000000,K,,
26.878862999999999,0,,
26.879902999999999,\x01,,
26.880945000000001,U,,
26.881986000000001,1,,
26.883029000000001,0,,
26.884070000000001,1,,
26.885110999999998,1,,
26.886153000000000,2,,
26.887198999999999,H,,
26.888240000000000,L,,
26.889278000000001,0,,
27.066981999999999,\x01,,
27.068021000000002,P,,
27.069063000000000,0,,
27.070108999999999,0,,
27.071145999999999,0,,
27.072195000000001,0,,
27.073229999999999,\x01,,
27.074271000000000,P,,
27.075313000000001,0,,
27.076357999999999,1,,
27.077396000000000,0,,
27.078441000000002,0,,
27.316970999999999,\x01,,
27.318020000000001,P,,
27.319065999999999,0,,
27.320101000000001,0,,
27.321138000000001,0,,
27.322184000000000,4,,
27.323221000000000,\x01,,
27.324268000000000,P,,
27.325303999999999,0,,
27.326346000000001,1,,
27.327387000000002,0,,
27.328436000000000,4,,
27.566962000000000,\x01,,
27.568003999999998,P,,
27.569047000000001,0,,
27.570087000000001,0,,
27.571128999999999,0,,
27.572170000000000,8,,
27.573212000000002,\x01,,
27.574254000000000,P,,
27.575301000000000,0,,
27.576345000000000,1,,
27.577385000000000,0,,
27.578420000000001,8,,
27.816853999999999,\x01,,
27.817889999999998,P,,
27.818936000000001,0,,
27.819982000000000,0,,
27.821016000000000,0,,
27.822057000000001,<,,
27.823098999999999,\x01,,
27.824140000000000,P,,
27.825185999999999,0,,
27.826222999999999,1,,
27.827265000000001,0,,
27.828306999999999,<,,
28.066742999999999,\x01,,
28.067782999999999,P,,
28.068819000000001,0,,
28.069863999999999,0,,
28.070902000000000,0,,
28.071943999999998,@,,
28.072984999999999,\x01,,
28.074027999999998,P,,
28.075068999999999,0,,
28.076115999999999,1,,
28.077152000000002,0,,
28.078195000000001,@,,
28.316837000000000,\x01,,
28.317874000000000,P,,
28.318921000000000,0,,
28.319958000000000,0,,
28.320996999999998,0,,
28.322039000000000,D,,
28.323080999999998,\x01,,
28.324124999999999,P,,
28.325164000000001,0,,
28.326215000000001,1,,
28.327248000000001,0,,
28.328289999999999,D,,
28.566821999999998,\x01,,
28.567864000000000,P,,
28.568909000000001,0,,
28.569958000000000,0,,
28.570993000000001,0,,
28.572030000000002,H,,
28.573073000000001,\x01,,
28.574116000000000,P,,
28.575154999999999,0,,
28.576198000000002,1,,
28.577241000000001,0,,
28.578279999999999,H,,
28.817021000000000,\x01,,
28.818066999999999,U,,
28.819105000000000,1,,
28.820148000000000,1,,
28.821187999999999,1,,
28.822755999999998,1,,
28.823792000000001,2,,
28.824833000000002,X,,
28.825880999999999,5,,
28.826917000000002,0,,
28.827964999999999,\x01,,
28.829000000000001,U,,
28.830044000000001,1,,
28.831097000000000,1,,
28.832125999999999,0,,
28.833171000000000,1,,
28.834209999999999,2,,
28.835249999999998,`,,
28.836293000000001,5,,
28.837344000000002,0,,
28.838379000000000,\x01,,
28.839416000000000,U,,
28.840461999999999,1,,
28.841500000000000,0,,
28.842752999999998,0,,
28.843796999999999,1,,
28.844833000000001,2,,
28.845873999999998,h,,
28.846923000000000,5,,
28.847961999999999,0,,
28.848998999999999,\x01,,
28.850045000000001,U,,
28.851082999999999,1,,
28.852129000000001,1,,
28.853166000000002,2,,
28.854209000000001,3,,
28.855249000000001,2,,
28.856296000000000,0,,
28.857332000000000,4,,
28.858378999999999,0,,
28.859416000000000,\x01,,
28.860457000000000,U,,
28.861498999999998,1,,
28.862749000000001,1,,
28.863793999999999,5,,
28.864832000000000,1,,
28.865874999999999,2,,
28.866914999999999,P,,
28.867958999999999,4,,
28.868998999999999,0,,
28.870045999999999,\x01,,
28.871082000000001,U,,
28.872129000000001,1,,
28.873165000000000,1,,
28.874212000000000,6,,
28.875252000000000,1,,
28.876294999999999,2,,
28.877331999999999,p,,
28.878378999999999,4,,
28.879418000000001,0,,
28.880461000000000,\x01,,
28.881498000000001,U,,
28.882747999999999,1,,
28.883796000000000,0,,
28.884833000000000,2,,
28.885873000000000,1,,
28.886914999999998,2,,
28.887962000000002,H,,
28.888998000000001,5,,
28.890041000000000,0,,
29.566682000000000,\x01,,
29.567723000000001,P,,
29.568766000000000,0,,
29.569807000000001,1,,
29.570851999999999,0,,
29.571890000000000,H,,
29.816883000000001,\x01,,
29.817923000000000,P,,
29.818964000000001,0,,
29.820017000000000,1,,
29.821052000000002,0,,
29.822088999999998,L,,
30.066769000000001,\x01,,
30.067810000000001,P,,
30.068852000000000,0,,
30.069901000000002,1,,
30.070934999999999,0,,
30.071981000000001,P,,
30.316759000000001,\x01,,
30.317802000000000,P,,
30.318842000000000,0,,
30.319887000000001,1,,
30.320927000000001,0,,
30.321968999999999,T,,
30.566858000000000,\x01,,
30.567896000000001,P,,
30.568939000000000,0,,
30.569983000000001,1,,
30.571027000000001,0,,
30.572061999999999,X,,
30.816848000000000,\x01,,
30.817903000000001,P,,
30.818929000000001,0,,
30.819973999999998,1,,
30.821021999999999,0,,
30.822053000000000,\,,
31.066835999999999,\x01,,
31.067882000000001,P,,
31.068919999999999,0,,
31.069963000000001,1,,
31.071003000000001,0,,
31.072046000000000,`,,
31.316936999999999,\x01,,
31.317972999999999,U,,
31.319020999999999,1,,
31.320056000000001,1,,
31.321103999999998,1,,
31.322661000000000,1,,
31.323702000000001,2,,
31.324743999999999,X,,
31.325785000000000,L,,
31.326827999999999,0,,
31.327869000000000,\x01,,
31.328910000000000,U,,
31.329951999999999,1,,
31.331000000000000,0,,
31.332035000000001,8,,
31.333076999999999,1,,
31.334118000000000,2,,
31.335160999999999,`,,
31.336213000000001,L,,
31.337246000000000,0,,
31.338284999999999,\x01,,
31.339331999999999,U,,
31.340371000000001,1,,
31.341410000000000,0,,
31.342662000000001,0,,
31.343705000000000,1,,
31.344743000000001,2,,
31.345784999999999,h,,
31.346827000000001,L,,
31.347867999999998,0,,
31.348910000000000,\x01,,
31.349951000000001,U,,
31.350995000000001,1,,
31.352034000000000,1,,
31.353078000000000,2,,
31.354122000000000,3,,
31.355165000000000,2,,
31.356200999999999,0,,
31.357243000000000,K,,
31.358284000000001,0,,
31.359330000000000,\x01,,
31.360368000000001,U,,
31.361412000000001,1,,
31.362662000000000,1,,
31.363700999999999,5,,
31.364747999999999,1,,
31.365784000000001,2,,
31.366826000000000,P,,
31.367874000000000,K,,
31.368914000000000,0,,
31.369951000000000,\x01,,
31.370998000000000,U,,
31.372033999999999,1,,
31.373080000000002,1,,
31.374116999999998,6,,
31.375159000000000,1,,
31.376200000000001,2,,
31.377241999999999,p,,
31.378284000000001,K,,
31.379331000000001,0,,
31.380367000000000,\x01,,
31.381412999999998,U,,
31.382663999999998,1,,
31.383700000000001,0,,
31.384746000000000,3,,
31.385783000000000,1,,
31.386825000000002,2,,
31.387867000000000,H,,
31.388911000000000,L,,
31.389949999999999,0,,
32.066597000000002,\x01,,
32.067636000000000,P,,
32.068674999999999,0,,
32.069716999999997,1,,
32.070759000000002,0,,
32.071804000000000,0,,
32.316687000000002,\x01,,
32.317732999999997,P,,
32.318770999999998,0,,
32.319816000000003,1,,
32.320853999999997,0,,
32.321897999999997,4,,
32.566786000000000,\x01,,
32.567824000000002,P,,
32.568869999999997,0,,
32.569907000000001,1,,
32.570951999999998,0,,
32.571990999999997,8,,
32.816671999999997,\x01,,
32.817711000000003,P,,
32.818755000000003,0,,
32.819794000000002,1,,
32.820836000000000,0,,
32.821877999999998,<,,
33.066771000000003,\x01,,
33.067810999999999,P,,
33.068848000000003,0,,
33.069889000000003,1,,
33.070931000000002,0,,
33.071975999999999,@,,
33.316547000000000,\x01,,
33.317588999999998,P,,
33.318631000000003,0,,
33.319671999999997,1,,
33.320717999999999,0,,
33.321755000000003,D,,
33.566538000000001,\x01,,
33.567580000000000,P,,
33.568624999999997,0,,
33.569662999999998,1,,
33.570706999999999,0,,
33.571745999999997,H,,
33.816842000000001,\x01,,
33.817888000000004,U,,
